	[Lambda]	[IDN]	[auto]	[break]	[case]	[char]	[const]	[continue]	[default]	[do]	[double]	[else]	[enum]	[extern]	[float]	[for]	[goto]	[if]	[inline]	[int]	[long]	[register]	[restrict]	[return]	[short]	[signed]	[sizeof]	[static]	[struct]	[switch]	[typedef]	[union]	[unsigned]	[void]	[volatile]	[while]	[~]	[!]	[%]	[^]	[&]	[*]	[(]	[)]	[-]	[+]	[=]	[[]	[]]	[{]	[}]	[|]	[;]	[:]	[,]	[<]	[->]	[.]	[>]	[?]	[/]	[<=]	[>=]	[==]	[<<]	[>>]	[!=]	[&&]	[||]	[++]	[--]	[+=]	[-=]	[*=]	[/=]	[%=]	[^=]	[|=]	[&=]	[<<=]	[>>=]	[INUM]	[FNUM]	[CH]	[STR]	
<program>	->[Lambda]		->[auto]<data type modifier><data type body><data type modifier><pointer modifier><198>			->[char]<data type modifier><pointer modifier><198>	->[const]<data type modifier><data type body><data type modifier><pointer modifier><198>				->[double]<data type modifier><pointer modifier><198>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier><198>	->[float]<data type modifier><pointer modifier><198>					->[int]<data type modifier><pointer modifier><198>	->[long]<151><data type modifier><pointer modifier><198>				->[short]<152><data type modifier><pointer modifier><198>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier><198>		->[static]<data type modifier><data type body><data type modifier><pointer modifier><198>	->[struct]<197>			->[union]<197>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier><198>	->[void]<data type modifier><pointer modifier><198>																			->[;]<program>																																	
<statement>			->[auto]<data type modifier><data type body><data type modifier><pointer modifier><199>			->[char]<data type modifier><pointer modifier><199>	->[const]<data type modifier><data type body><data type modifier><pointer modifier><199>				->[double]<data type modifier><pointer modifier><199>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier><199>	->[float]<data type modifier><pointer modifier><199>					->[int]<data type modifier><pointer modifier><199>	->[long]<151><data type modifier><pointer modifier><199>				->[short]<152><data type modifier><pointer modifier><199>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier><199>		->[static]<data type modifier><data type body><data type modifier><pointer modifier><199>	->[struct]<196>			->[union]<196>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier><199>	->[void]<data type modifier><pointer modifier><199>																			->[;]																																	
<function statement>			->[auto]<data type modifier><data type body><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>			->[char]<data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[const]<data type modifier><data type body><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>				->[double]<data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[float]<data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>					->[int]<data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[long]<151><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>				->[short]<152><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>		->[static]<data type modifier><data type body><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[struct]<150><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>			->[union]<150><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>	->[void]<data type modifier><pointer modifier>[IDN][(]<formal parameter list>[)]<function tail>																																																				
<variable statement>			->[auto]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]			->[char]<data type modifier><pointer modifier><variable list>[;]	->[const]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]				->[double]<data type modifier><pointer modifier><variable list>[;]			->[extern]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]	->[float]<data type modifier><pointer modifier><variable list>[;]					->[int]<data type modifier><pointer modifier><variable list>[;]	->[long]<151><data type modifier><pointer modifier><variable list>[;]				->[short]<152><data type modifier><pointer modifier><variable list>[;]	->[signed]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]		->[static]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]	->[struct]<150><data type modifier><pointer modifier><variable list>[;]			->[union]<150><data type modifier><pointer modifier><variable list>[;]	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]	->[void]<data type modifier><pointer modifier><variable list>[;]																																																				
<data type definition>																													->[struct]<data type definition name>[{]<struct inner>[}][;]			->[union]<data type definition name>[{]<struct inner>[}][;]																																																						
<data type>			->[auto]<data type modifier><data type body><data type modifier><pointer modifier>			->[char]<data type modifier><pointer modifier>	->[const]<data type modifier><data type body><data type modifier><pointer modifier>				->[double]<data type modifier><pointer modifier>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier>	->[float]<data type modifier><pointer modifier>					->[int]<data type modifier><pointer modifier>	->[long]<151><data type modifier><pointer modifier>				->[short]<152><data type modifier><pointer modifier>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier>		->[static]<data type modifier><data type body><data type modifier><pointer modifier>	->[struct]<150><data type modifier><pointer modifier>			->[union]<150><data type modifier><pointer modifier>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier>	->[void]<data type modifier><pointer modifier>																																																				
<formal parameter list>			->[auto]<data type modifier><data type body><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>			->[char]<data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[const]<data type modifier><data type body><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>				->[double]<data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[float]<data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>					->[int]<data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[long]<151><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>				->[short]<152><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>		->[static]<data type modifier><data type body><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[struct]<150><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>			->[union]<150><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier>[IDN]<array in parameter><formal parameter list tail>	->[void]<207>										->[Lambda]																																										
<function tail>																																																		->[{]<program body>[}]			->[;]																																	
<block>																																																		->[{]<program body>[}]																																				
<variable list>		->[IDN]<array tail><single variable tail><variable list tail>																																																																																				
<data type modifier>		->[Lambda]	->[auto]<data type modifier>			->[Lambda]	->[const]<data type modifier>				->[Lambda]			->[extern]<data type modifier>	->[Lambda]					->[Lambda]	->[Lambda]				->[Lambda]	->[signed]<data type modifier>		->[static]<data type modifier>	->[Lambda]			->[Lambda]	->[unsigned]<data type modifier>	->[Lambda]								->[Lambda]		->[Lambda]																																										
<data type body>						->[char]					->[double]				->[float]					->[int]	->[long]<151>				->[short]<152>				->[struct]<150>			->[union]<150>		->[void]																																																				
<pointer modifier>		->[Lambda]																																								->[*]<const modifier><pointer modifier>		->[Lambda]																																										
<base data type>						->[char]					->[double]				->[float]					->[int]	->[long]<151>				->[short]<152>									->[void]																																																				
<user defined data type>																													->[struct]<150>			->[union]<150>																																																						
<const modifier>		->[Lambda]					->[const]<const modifier>																																			->[Lambda]		->[Lambda]																																										
<struct or union>																													->[struct]			->[union]																																																						
<data type definition name>		->[IDN]																																																->[Lambda]																																				
<struct inner>			->[auto]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<struct inner>			->[char]<data type modifier><pointer modifier><variable list>[;]<struct inner>	->[const]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<struct inner>				->[double]<data type modifier><pointer modifier><variable list>[;]<struct inner>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<struct inner>	->[float]<data type modifier><pointer modifier><variable list>[;]<struct inner>					->[int]<data type modifier><pointer modifier><variable list>[;]<struct inner>	->[long]<151><data type modifier><pointer modifier><variable list>[;]<struct inner>				->[short]<152><data type modifier><pointer modifier><variable list>[;]<struct inner>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<struct inner>		->[static]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<struct inner>	->[struct]<206>			->[union]<206>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<struct inner>	->[void]<data type modifier><pointer modifier><variable list>[;]<struct inner>																	->[Lambda]																																			
<single variable>		->[IDN]<array tail><single variable tail>																																																																																				
<variable list tail>																																																					->[Lambda]		->[,]<pointer modifier><variable list>																															
<array tail>																																															->[Lambda]	->[[]<const value>[]]<array tail>					->[Lambda]		->[Lambda]																															
<single variable tail>																																															->[=]<single variable init>						->[Lambda]		->[Lambda]																															
<const value>																																																																																		->[INUM]	->[FNUM]	->[CH]	->[STR]	
<single variable init>		->[IDN]<182>																									->[sizeof]<153><156><157><158><159><160><161><162><163><164><165><166>										->[~]<M><156><157><158><159><160><161><162><163><164><165><166>	->[!]<M><156><157><158><159><160><161><162><163><164><165><166>			->[&]<N><156><157><158><159><160><161><162><163><164><165><166>	->[*]<N><156><157><158><159><160><161><162><163><164><165><166>	->[(]<180>		->[-]<M><156><157><158><159><160><161><162><163><164><165><166>					->[{]<149>																				->[++]<N><156><157><158><159><160><161><162><163><164><165><166>	->[--]<N><156><157><158><159><160><161><162><163><164><165><166>											->[INUM]<156><157><158><159><160><161><162><163><164><165><166>	->[FNUM]<156><157><158><159><160><161><162><163><164><165><166>	->[CH]<156><157><158><159><160><161><162><163><164><165><166>	->[STR]<181>	
<single variable init tail>																																																			->[Lambda]				->[,]<single variable init><single variable init tail>																															
<A>		->[IDN]<182>																									->[sizeof]<153><156><157><158><159><160><161><162><163><164><165><166>										->[~]<M><156><157><158><159><160><161><162><163><164><165><166>	->[!]<M><156><157><158><159><160><161><162><163><164><165><166>			->[&]<N><156><157><158><159><160><161><162><163><164><165><166>	->[*]<N><156><157><158><159><160><161><162><163><164><165><166>	->[(]<180>		->[-]<M><156><157><158><159><160><161><162><163><164><165><166>																									->[++]<N><156><157><158><159><160><161><162><163><164><165><166>	->[--]<N><156><157><158><159><160><161><162><163><164><165><166>											->[INUM]<156><157><158><159><160><161><162><163><164><165><166>	->[FNUM]<156><157><158><159><160><161><162><163><164><165><166>	->[CH]<156><157><158><159><160><161><162><163><164><165><166>	->[STR]<181>	
<array in parameter>																																												->[Lambda]				->[[]<148>							->[Lambda]																															
<formal parameter list tail>																																												->[Lambda]											->[,]<147>																															
<program body>		->[IDN]<195><program body>	->[auto]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<program body>	->[break][;]<program body>		->[char]<data type modifier><pointer modifier><variable list>[;]<program body>	->[const]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<program body>	->[continue][;]<program body>		->[do]<block>[while]<normal expr>[;]<program body>	->[double]<data type modifier><pointer modifier><variable list>[;]<program body>			->[extern]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<program body>	->[float]<data type modifier><pointer modifier><variable list>[;]<program body>	->[for][(]<normal expr>[;]<normal expr>[;]<normal expr>[)]<loop tail><program body>	->[goto][IDN][;]<program body>	->[if][(]<normal expr>[)]<loop tail><if tail><program body>		->[int]<data type modifier><pointer modifier><variable list>[;]<program body>	->[long]<151><data type modifier><pointer modifier><variable list>[;]<program body>			->[return]<146><program body>	->[short]<152><data type modifier><pointer modifier><variable list>[;]<program body>	->[signed]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<program body>	->[sizeof]<153><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[static]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<program body>	->[struct]<205>	->[switch][(]<normal expr>[)][{]<case sentence>[}]<program body>		->[union]<205>	->[unsigned]<data type modifier><data type body><data type modifier><pointer modifier><variable list>[;]<program body>	->[void]<data type modifier><pointer modifier><variable list>[;]<program body>		->[while][(]<normal expr>[)]<loop tail><program body>	->[~]<M><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[!]<M><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>			->[&]<N><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[*]<N><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[(]<180><167>[;]<program body>		->[-]<M><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>					->[{]<program body>[}]<program body>	->[Lambda]		->[;]<program body>																	->[++]<N><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[--]<N><156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>											->[INUM]<156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[FNUM]<156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[CH]<156><157><158><159><160><161><162><163><164><165><166><167>[;]<program body>	->[STR]<181><167>[;]<program body>	
